C_LAST_NAME|C_FIRST_NAME|CA_CITY|BOUGHT_CITY|SS_TICKET_NUMBER|EXTENDED_PRICE|EXTENDED_TAX|LIST_PRICE|
 Hernandez                     |Katherine           |Oak Ridge|Pine Grove|5901|11814.32|476.13|26882.5|
 Holtz                         |Curtis              |Spring Valley|Kingston|4883|20178.41|511.92|38725.07|
 Hooper                        |Gloria              |Riverview|Pleasant Hill|4342|23531.49|631.51|41707.57|
 Hughes                        |David               |Shady Grove|Clinton|1463|31220.8|1461.11|58060.39|
 Ivey                          |David               |Fairfield|Centerville|3681|21787.19|518.13|44890.81|
 Johnson                       |Trina               |Oakdale|Jackson|5177|19554.16|551.5|52073.2|
 Johnson                       |Beverly             |Valley View|Shady Grove|7637|23839.23|1659.91|49095.59|
 Joseph                        |Ramon               |Adrian|Mount Vernon|7856|21308.72|991.4|52522.99|
 Landry                        ||Clifton|Crystal|2987|25044.82|1202.93|62436.7|
 Lashley                       |Gregory             |Riverdale|Summerfield|4003|25285.99|1234.6|45850.21|
 Lavender                      |Robert              |Bunker Hill|Foster|3754|26401|1176.68|44523.55|
 Lee                           ||Arcola|Green Acres|5701|30999.01|1650.92|53523.21|
 Levine                        |Stephen             |Woodville|Lebanon|6251|13788.79|693.25|37938.68|
 Lewis                         |Nina                |Woodlawn|Springfield|1605|22118.98|1096.06|39070.26|
 Mackenzie                     |Franklyn            |Macedonia|White Oak|5802|23249.94|1727.69|30120.04|
 Mayo                          |Amanda              |Bethel|Centerville|1864|19176.23|1300.92|36687.88|
 Mccabe                        |Micheal             |Wilson|Hamilton|7244|21138.78|1230.26|40388.74|
 Mcdaniel                      |Kathryn             |Oakwood|Waterloo|1192|12251.82|256.18|51028.28|
 Mott                          |Rogelio             |Green Acres|Saratoga|8431|15094.21|893.27|23513.98|
 Navarro                       |Gerald              |Bridgeport|Lakeview|2735|12074.35|245.9|30263.4|
 Nolan                         |Larry               |Bridgeport|Valley View|8539|28684.37|1159.76|41686.97|
 Obrien                        |Scott               |Lincoln|White Oak|8257|13869.29|717.38|40196.9|
 Paradis                       |Cynthia             |Providence|Greenville|2858|35892.18|2290.68|53368.85|
 Parker                        |Michael             |Oak Grove|Farmington|4114|24869.6|1798.89|53848.47|
 Pena                          |Lynette             |Bridgeport|Macon|6096|25197.91|808.95|39756.81|
 Qualls                        |Suzanne             |Pleasant Valley|Hamilton|9280|10737.7|605.14|34359.16|
 Ray                           |Mario               |Siloam|Shiloh|5958|18813.46|402.76|42404.77|
 Reynoso                       |Robert              |Glenwood|Providence|794|28339.7|841.18|67076.97|
 Rhodes                        |Becky               |Clearview|Waterloo|7950|21839.98|933.81|46845.4|
 Robinson                      |Shawn               |Maple Grove|Forest Hills|1167|21861.54|839.69|49742.26|
 Robinson                      |Thomas              |Gladstone|Plainview|8414|5897.03|268|14227.07|
 Ross                          |Ronnie              |Mountain View|Berea|1300|26440.78|1283.57|61272.65|
 Schneider                     |Marvin              |Jamestown|Five Points|9063|22488.05|471.82|36545.34|
 Shaw                          |William             |Paxton|Maple Grove|8912|17089.06|511.34|29505.97|
 Sinclair                      |Kyle                |Forest Hills|Crossroads|8841|17281.74|1253.32|45966.38|
 Skinner                       |Albert              |Glenwood|Unionville|3621|15771.91|163.93|30985.96|
 Smith                         |Sara                |Pleasant Valley|Friendship|7453|25279.27|803.82|51683.81|
 Sousa                         |Luis                |Shiloh|Spring Hill|2357|13068.42|537.71|30394.61|
 Stacy                         |Violet              |Highland|Green Acres|8899|43541.3|2243.54|53917.94|
 Stewart                       |Stephen             |Harmony|Kingston|2678|27999.84|1131.97|53250.77|
 Thomas                        |Margery             |Spring Hill|Sumner|7859|37642.6|1625.17|71420.26|
 Wagner                        |Robert              |Springfield|Bunker Hill|6583|8565.54|346.76|38307.5|
 Weaver                        |Karen               |Bethel|Oakland|7350|29933.43|683.17|48704.58|
 Winchester                    |Martha              |Brownsville|Jackson|4976|9996.21|471.37|37443.67|
 ||Unionville|Woodlawn|70|14472.01|383.45|27139.95|
